Protein_A	Protein_B	Uniprot_A	Uniprot_B
GPM1	SOD1	P00950	P00445
PDC1	SOD1	P06169	P00445
SOD1	TKL1	P00445	P23254
RRP6	SOF1	Q12149	P33750
CDC48	SPC24	P25694	Q04477
SPC72	TUB4	P39723	P53378
SPC97	TUB4	P38863	P53378
SPC98	TOM70	P53540	P07213
SPC98	TUB4	P53540	P53378
CDC48	SPO1	P25694	P53541
SET2	SPT16	P46995	P32558
CDC48	SPT20	P25694	P50875
SET2	SPT4	P46995	P32914
SET2	SPT6	P46995	P23615
CDC48	SPT7	P25694	P35177
CDC48	SPT8	P25694	P38915
MRP51	SSB1	Q02950	P11484
CDC48	SSE1	P25694	P32589
SSP120	TOM70	P39931	P07213
SSZ1	TMA46	P38788	Q12000
ARD1	STM1	P07347	P39015
BUD23	STM1	P25627	P39015
DBP2	STM1	P24783	P39015
ELP2	STM1	P42935	P39015
FAP1	STM1	P53971	P39015
GCD2	STM1	P12754	P39015
HHO1	STM1	P53551	P39015
LCB5	STM1	Q06147	P39015
MSK1	STM1	P32048	P39015
NAT1	STM1	P12945	P39015
NST1	STM1	P53935	P39015
OTU2	STM1	P38747	P39015
POX1	STM1	P13711	P39015
PSP2	STM1	P50109	P39015
RAI1	STM1	P53063	P39015
RIO1	STM1	Q12196	P39015
RIO2	STM1	P40160	P39015
RPL13B	STM1	P40212	P39015
RPL16B	STM1	P26785	P39015
RPL31B	STM1	P0C2H9	P39015
RPL32	STM1	P38061	P39015
RPL33A	STM1	P05744	P39015
RPL36B	STM1	O14455	P39015
RPL37A	STM1	P49166	P39015
RPL38	STM1	P49167	P39015
RPL39	STM1	P04650	P39015
RPL5	STM1	P26321	P39015
RPL9B	STM1	P51401	P39015
RPP0	STM1	P05317	P39015
RPP2A	STM1	P05319	P39015
RPS11B;RPS11A	STM1	NA	P39015
RPS14B	STM1	P39516	P39015
RPS16A;RPS16B	STM1	NA	P39015
RPS17B;RPS17A	STM1	NA	P39015
RPS18A;RPS18B	STM1	NA	P39015
RPS19B	STM1	P07281	P39015
RPS1B	STM1	P23248	P39015
RPS22B;RPS22A	STM1	NA	P39015
RPS23A;RPS23B	STM1	NA	P39015
RPS24B;RPS24A	STM1	NA	P39015
RPS27A;RPS27B	STM1	NA	P39015
RPS28B	STM1	P0C0X0	P39015
RPS29A	STM1	P41057	P39015
RPS30A;RPS30B	STM1	NA	P39015
RPS4A;RPS4B	STM1	NA	P39015
RPS5	STM1	P26783	P39015
RPS6B;RPS6A	STM1	NA	P39015
RPS7B	STM1	P48164	P39015
RPS8B;RPS8A	STM1	NA	P39015
SAP1	STM1	P39955	P39015
STM1	TMA64	P39015	Q04600
STM1	TSR1	P39015	Q07381
STM1	YCR087C-A	P39015	P37263
STM1	YIL161W	P39015	P40449
STM1	YLR278C	P39015	Q05854
STM1	YLR419W	P39015	Q06698
LIP1	STU2	Q03579	P46675
PEX14	STU2	P53112	P46675
APE2	SUB1	P32454	P54000
CDC48	SUS1	P25694	Q6WNK7
CDC48	SWD3	P25694	P38123
MRP51	SWS2	Q02950	P53937
CDC48	TAF9	P25694	Q05027
FUS3	TDH2	P16892	P00358
SOD1	TDH2	P00445	P00358
SOD1	TDH3	P00445	P00359
CDC48	TEM1	P25694	P38987
CDC48	TEP1	P25694	P53916
NMD4	TIF1	Q12129	P10081
NMD4	TIF2	Q12129	NA
DED1	TIF34	P06634	P40217
CDC48	TIF4631	P25694	P39935
RPL36B	TMA46	O14455	Q12000
RPL5	TMA46	P26321	Q12000
RPP0	TMA46	P05317	Q12000
TMA46	ZUO1	Q12000	P32527
TOM20	TOM70	P35180	P07213
TOM22	TOM70	P49334	P07213
TOM40	TOM70	P23644	P07213
TOM5	TOM70	P80967	P07213
TOM6	TOM70	P33448	P07213
DED81	TOM70	P38707	P07213
KRS1	TOM70	P15180	P07213
PDR16	TOM70	P53860	P07213
SRP101	TOM70	P32916	P07213
TOM7	TOM70	P53507	P07213
TOM70	YHR020W	P07213	P38708
SOD1	TPI1	P00445	P00942
CDC48	TPK3	P25694	P05986
SOD1	TSA1	P00445	P34760
FRD1	TUB4	P32614	P53378
CDC48	TUP1	P25694	P16649
RPO41	TY1B-LR1	P13433	Q12088
RRP6	UBC7	Q12149	Q02159
STM1	UBP3	P39015	Q01477
MRP51	UBP6	Q02950	P43593
CDC48	UBP8	P25694	P50102
RRP6	UTP6	Q12149	Q02354
CDC48	VHS1	P25694	Q03785
MRP51	VPS72	Q02950	Q03388
CDC48	YGL081W	P25694	P53156
STM1	YKL071W	P39015	P36086
CDC48	YKU70	P25694	P32807
CDC48	YKU80	P25694	Q04437
CDC48	YPR015C	P25694	Q12531
RPO41	YPR1	P13433	Q12458
NMD2	YRA1	P38798	Q12159
SUB1	YRA1	P54000	Q12159
STM1	ZUO1	P39015	P32527
